基準地の１平方メートル当たり価格（円）,基準地の地積（m2）,基準地の鉄道その他の主要な交通施設との接近状況,ガス,下水,水道,鉄筋コンクリート造,鉄骨造,木造,ホテル,事務所,住宅,工場,店舗,銀行
40800,377,1300.0,1,1,1,0,0,1,0,0,1,0,0,0
36200,226,2800.0,1,1,1,0,0,1,0,0,1,0,0,0
32600,234,1800.0,0,1,1,0,1,0,0,0,1,0,0,0
33900,254,1100.0,1,1,1,0,0,1,0,0,1,0,0,0
33400,222,2900.0,0,1,1,0,0,1,0,0,1,0,0,0
33900,330,800.0,1,1,1,0,0,1,0,0,1,0,0,0
32000,239,550.0,0,0,1,0,0,1,0,0,1,0,0,0
37000,305,2300.0,1,1,1,0,0,1,0,0,1,0,0,0
19500,538,3400.0,0,0,1,0,0,1,0,0,1,0,0,0
45000,192,1200.0,1,1,1,0,0,1,0,0,0,0,1,0
50200,216,200.0,1,1,1,0,1,0,0,0,0,0,1,0
39200,545,700.0,0,0,1,0,0,1,0,0,0,0,1,0
46000,949,2500.0,0,1,1,0,0,0,0,0,0,0,0,0
20100,4958,2000.0,0,0,1,0,0,0,0,0,0,1,0,0
21300,3049,1300.0,1,0,1,0,1,0,0,0,0,1,0,0
30500,158,3300.0,0,1,1,0,0,1,0,0,1,0,0,0
37900,325,1800.0,1,1,1,0,0,1,0,0,1,0,0,0
37400,331,2800.0,0,1,1,0,0,1,0,0,1,0,0,0
13300,289,3000.0,0,1,1,0,0,1,0,0,1,0,0,0
20200,330,2400.0,0,1,1,0,0,1,0,0,1,0,0,0
20300,499,6300.0,0,1,1,0,0,1,0,0,1,0,0,0
7450,427,500.0,0,1,1,0,0,1,0,0,1,0,0,0
20300,443,200.0,0,1,1,0,0,1,0,0,1,0,0,0
10100,227,4500.0,0,1,1,0,0,1,0,0,1,0,0,0
18700,212,4800.0,0,1,1,0,0,1,0,0,1,0,0,0
28000,266,8600.0,1,1,1,0,0,1,0,0,1,0,0,0
51500,578,2400.0,0,1,1,0,0,1,0,0,0,0,1,0
29500,901,3000.0,0,1,1,0,1,0,0,0,0,0,1,0
41000,105,9000.0,1,1,1,0,0,1,0,0,0,0,1,0
7800,764,9200.0,0,0,1,0,0,1,0,0,1,0,0,0
31500,218,490.0,1,0,1,0,0,1,0,0,1,0,0,0
40200,182,900.0,1,1,1,0,1,0,0,0,1,0,0,0
33000,141,700.0,0,1,1,0,0,1,0,0,1,0,0,0
13500,446,11000.0,0,0,1,0,0,1,0,0,1,0,0,0
6250,446,14000.0,0,0,1,0,0,1,0,0,1,0,0,0
20500,379,3500.0,0,0,1,0,0,1,0,0,1,0,0,0
36200,148,700.0,1,1,1,0,0,1,0,0,0,0,1,0
42600,520,1300.0,0,1,1,0,1,0,0,0,0,0,1,0
33700,959,1100.0,0,0,1,0,1,0,0,0,0,0,1,0
17700,5938,4000.0,0,0,1,0,0,0,0,0,0,1,0,0
36200,202,800.0,1,1,1,0,0,1,0,0,1,0,0,0
19700,192,200.0,0,0,1,0,1,0,0,0,1,0,0,0
12800,727,4700.0,0,0,1,0,0,1,0,0,1,0,0,0
28200,238,1800.0,1,0,1,0,1,0,0,0,1,0,0,0
8800,299,5000.0,0,0,1,0,0,1,0,0,1,0,0,0
6350,669,5200.0,0,0,1,0,0,1,0,0,1,0,0,0
37600,218,700.0,1,1,1,0,1,0,0,0,0,0,1,0
40700,2453,650.0,1,1,1,0,1,0,0,0,0,0,1,0
31900,250,2800.0,0,1,1,0,0,1,0,0,1,0,0,0
10000,361,4900.0,0,0,1,0,0,1,0,0,1,0,0,0
21800,207,520.0,0,0,1,0,0,1,0,0,1,0,0,0
