時点,就業者-男女計-万人,就業率-15_64歳,就業率-65歳以上,完全失業率-男女計,完全失業率-男,完全失業率-女,有効求人倍率,総実労働時間,総実労働時間うち一般労働者,総実労働時間うちパートタイム労働者
2017年11月,6552,75.7,22.9,2.6,2.8,2.4,1.63,145.6,172.2,86.1
2017年12月,6542,75.8,22.7,2.6,2.7,2.4,1.69,144.1,169.9,86.9
2018年1月,6562,75.9,23,2.4,2.5,2.2,1.68,133.7,156.3,82.9
2018年2月,6578,76,23.5,2.5,2.6,2.3,1.68,138.9,163.9,83
2018年3月,6620,76.2,24.1,2.5,2.7,2.3,1.62,142.6,168.2,85.2
2018年4月,6671,76.7,24.7,2.6,2.8,2.4,1.49,146,172,86.9
2018年5月,6698,77,24.7,2.3,2.4,2.2,1.47,140.7,164.7,85.8
2018年6月,6687,76.9,24.5,2.5,2.5,2.4,1.52,147.6,173.9,87.6
2018年7月,6660,76.9,24,2.5,2.7,2.3,1.58,145.2,171.5,86.3
2018年8月,6682,77,24.5,2.5,2.6,2.3,1.62,139.9,164,85.8
2018年9月,6715,77.3,24.9,2.4,2.5,2.2,1.64,139,163.4,84.4
2018年10月,6725,77.4,24.8,2.4,2.6,2,1.66,143.9,170.4,85.1
2018年11月,6709,77.3,24.7,2.4,2.6,2.2,1.69,147.4,175,86.5
2018年12月,6656,77,24,2.3,2.5,2.1,1.73,140.9,166.4,85.4
2019年1月,6628,76.8,23.7,2.4,2.5,2.4,1.71,130.2,153.4,80.6
2019年2月,6656,77.2,24,2.3,2.4,2.1,1.72,137.8,164,81.6
2019年3月,6687,77.2,24.7,2.5,2.8,2.2,1.66,138.8,165,82.9
2019年4月,6708,77.4,25,2.6,2.6,2.5,1.52,143.4,170.1,85.1
2019年5月,6732,77.6,25.2,2.4,2.5,2.3,1.48,134.5,158,82.5
2019年6月,6747,77.9,24.9,2.3,2.5,2.1,1.51,142.6,168.9,84.4
2019年7月,6731,77.9,24.6,2.3,2.4,2.1,1.55,144.1,171.3,84.3
2019年8月,6751,77.9,25.1,2.3,2.4,2.1,1.58,135.8,159.9,83.3
2019年9月,6768,77.9,25.6,2.4,2.6,2.2,1.59,138.2,163.3,83.3
2019年10月,6787,78.2,25.5,2.4,2.5,2.2,1.6,140.6,167.2,82.6
2019年11月,6762,77.9,25.4,2.2,2.3,2,1.63,142,169,83.6
2019年12月,6737,77.9,25.1,2.1,2.3,1.9,1.68,140.3,166.4,83.9
2020年1月,6687,77.5,24.7,2.3,2.4,2.2,1.57,131.3,155.4,79.6
2020年2月,6691,77.7,24.4,2.3,2.5,2.1,1.53,135.6,161.3,80.5
2020年3月,6700,77.5,25,2.6,2.8,2.3,1.43,137,163.4,80
2020年4月,6628,76.8,24.6,2.8,3,2.5,1.23,137.8,165.2,76.7
2020年5月,6656,76.9,25.1,2.9,3.1,2.6,1.1,121.8,143.9,71.5
2020年6月,6670,77.1,25,2.8,3.1,2.6,1.05,136.9,162.2,79.3
2020年7月,6655,76.9,25.2,2.9,3,2.7,1.05,140.2,166.2,81.5
2020年8月,6676,77.2,25.2,3,3.1,2.9,1.03,128.8,151.1,79
2020年9月,6689,77.2,25.6,3,3.3,2.8,1.03,135.9,160.8,80.5
2020年10月,6694,77.3,25.7,3.1,3.5,2.6,1.06,141.1,167.8,81.8
2020年11月,6707,77.7,25.4,2.8,3.2,2.3,1.09,138.1,164.5,80.8
2020年12月,6666,77.5,25,2.8,3,2.6,1.13,136.9,162.7,80.9
